Alabama-Huntsville,Southern Mississippi,10,6
Alabama-Birmingham,Troy,11,7
Tulane,Mississippi State,11,4
Auburn,Mississippi State,11,4
Alabama-Huntsville,Troy,11,3
Tulane,Southern Mississippi,11,2
Auburn,Alabama-Huntsville,11,5
Alabama-Birmingham,Southern Mississippi,11,4
Tulane,Troy,11,1
Auburn,Alabama-Birmingham,11,4
Mississippi State,Troy,11,3
Mississippi State,Alabama-Birmingham,8,10
Alabama-Huntsville,Tulane,9,8
Auburn,Southern Mississippi,11,2
Troy,Southern Mississippi,10,8
Auburn,Tulane,10,8
Alabama-Huntsville,Alabama-Birmingham,11,7
Mississippi State,Southern Mississippi,11,7
Tulane,Alabama-Birmingham,11,6
Alabama-Huntsville,Mississippi State,11,6
Auburn,Troy,10,4
Alabama,LSU,10,13
Jacksonville State,Vanderbilt,5,11
Middle Tennessee State,Mississippi,13,9
Alabama,Vanderbilt,12,11
LSU,Mississippi,13,7
Jacksonville State,Middle Tennessee State,11,12
Alabama,Mississippi,13,4
LSU,Jacksonville State,13,8
Vanderbilt,Middle Tennessee State,11,10
Alabama,Jacksonville State,13,5
LSU,Middle Tennessee State,13,2
Vanderbilt,Mississippi,13,7
Alabama,Middle Tennessee State,13,2
LSU,Vanderbilt,13,6
Jacksonville State,Mississippi,13,7
Mississippi,Southern Mississippi,15,13
Mississippi,Troy,8,13
Auburn,LSU,12,10
LSU,Alabama,14,15
Alabama-Huntsville,Alabama,9,13
Alabama-Huntsville,Tulane,13,11
Tulane,Vanderbilt,15,7
Vanderbilt,Alabama-Birmingham,10,15
Alabama-Birmingham,Middle Tennessee State,15,7
Middle Tennessee State,Jacksonville State,7,11
Mississippi State,Jacksonville State,9,13
