Colorado,Texas,12,9
Colorado,Texas-Dallas,13,11
Colorado State,Texas,10,11
Colorado,Texas A&M,14,9
Texas Tech,Texas-Dallas,9,12
Colorado State,Oklahoma,12,7
Oklahoma State,Texas,7,15
Colorado,Colorado,15,6
Texas A&M,Texas State,13,10
Texas Tech,Baylor,15,6
Saint Louis,Texas-Dallas,5,15
Colorado State,Arkansas,10,9
Kansas,Oklahoma,6,13
Oklahoma State,Washington University,15,11
Kansas State,Texas,5,15
Texas,Texas A&M,15,10
Texas-Dallas,Texas A&M,11,14
Oklahoma,Texas-Dallas,9,13
Texas A&M,Colorado State,13,11
Oklahoma State,Oklahoma,8,14
Texas Tech,Texas A&M,8,15
Oklahoma State,Colorado,15,11
Oklahoma,Saint Louis,14,10
Texas Tech,Kansas,12,10
Texas A&M,Washington University,12,8
Colorado,Texas State,15,9
Baylor,Saint Louis,12,15
Arkansas,Kansas,6,11
Washington University,Kansas State,12,9
Texas State,Kansas State,0,15
Texas State,Baylor,15,6
Arkansas,Kansas State,9,15
Colorado,Saint Louis,9,13
Kansas,Washington University,3,11
