New Hampshire,SUNY-Fredonia,5

University of Pittsburgh B,Campbell,9

New Hampshire,Campbell,11

University of Pittsburgh B,SUNY-Fredonia,5

University of Pittsburgh B,New Hampshire,2

Campbell,SUNY-Fredonia,2

Ohio,Delaware B,7

Rhode Island,North Carolina State B,1

Ohio,North Carolina State B,8

Delaware B,Rhode Island,1

Ohio,Rhode Island,10

Delaware B,North Carolina State B,6

Ohio,University of Pittsburgh B,4

University of Pittsburgh B,Delaware B,10

Ohio,New Hampshire,3

University of Pittsburgh B,North Carolina State B,12

Delaware B,Campbell,8

Ohio,SUNY-Fredonia,10

New Hampshire,Rhode Island,9

New Hampshire,Delaware B,7

SUNY-Fredonia,Campbell,3

Campbell,North Carolina State B,2

SUNY-Fredonia,Rhode Island,1

North Carolina State B,Rhode Island,9

