Tufts,Massachusetts-Lowell,11
Harvard,Massachusetts- Dartmouth,9
Tufts,Massachusetts- Dartmouth,13
Harvard,Massachusetts-Lowell,8
Harvard,Tufts,1
Massachusetts- Dartmouth,Massachusetts-Lowell,5
Northeastern,Boston University,7
Northeastern,Boston College,3
MIT,Boston University,3
Northeastern,MIT,6
Boston College,Boston University,6
Boston College,MIT,5
Northeastern,Harvard,5
Harvard,Boston College,2
Northeastern,Tufts,2
Harvard,Boston University,1
Boston College,Massachusetts- Dartmouth,9
Tufts,MIT,9
Northeastern,Massachusetts-Lowell,9
Harvard,Tufts,1
Tufts,Boston College,7
Tufts,Boston University,7
Boston College,MIT,3
Boston University,Massachusetts- Dartmouth,11
MIT,Massachusetts-Lowell,10
MIT,Boston University,1
Massachusetts-Lowell,Massachusetts- Dartmouth,11
